PoliticalEventKey,CountryKey,MonthKey,SumEvents,TotalEvents,NormalizedEvents1000,EventRootCode,EventRootDescr,EventCode,EventDescr,GoldsteinScale,AvgNumMentions,SumNumMentions,AvgAvgTone
95,YEM,12,72,8134,8.851733464470126,19,FIGHT,193,Fight with small arms and light weapons,-10.0,4.388888888888888,316,2.6271069724134124
96,YEM,12,12,8134,1.4752889107450209,19,FIGHT,194,Fight with artillery and tanks,-10.0,4.666666666666667,56,2.630535769207297
97,YEM,12,6,8134,0.7376444553725104,17,COERCE,170,"Coerce, not specified below ",-7.0,4.5,27,4.746543746362802
98,YEM,12,2,8134,0.24588148512417016,17,COERCE,1712,Destroy property,-9.2,16.0,32,2.2802692476605517
99,YEM,12,9,8134,1.1064666830587655,18,ASSAULT,186,Assassinate ,-10.0,6.1111111111111125,55,2.5048832383285693
100,YEM,12,40,8134,4.917629702483403,18,ASSAULT,180,"Use unconventional violence, not specified below",-9.0,4.6,184,3.016370297973637
101,KEN,12,128,77788,1.6454980202601943,17,COERCE,174,Expel or deport individuals,-5.0,4.609374999999999,590,4.02417389765037
102,KEN,12,17,77788,0.21854270581580704,19,FIGHT,195,Employ aerial weapons,-10.0,5.176470588235294,88,3.2240604891633424
103,KEN,12,8,77788,0.10284362626626213,20,USE UNCONVENTIONAL MASS VIOLENCE,203,Engage in ethnic cleansing,-10.0,4.875,39,4.407348060953366
104,KEN,12,42,77788,0.5399290378978763,17,COERCE,171,"Seize or damage property, not specified below",-9.2,4.976190476190474,209,3.76852403868792
105,KEN,12,1993,77788,25.62091839358256,17,COERCE,173,"Arrest, detain, or charge with legal action ",-5.0,4.068238835925742,8108,3.9557047784107344
106,KEN,12,119,77788,1.5297989407106496,18,ASSAULT,1821,Sexually assault,-9.0,4.521008403361345,538,4.923961294921834
107,KEN,12,15,77788,0.19283179924924151,20,USE UNCONVENTIONAL MASS VIOLENCE,202,Engage in mass killings,-10.0,3.266666666666667,49,5.148427336815881
108,KEN,12,28,77788,0.3599526919319175,19,FIGHT,194,Fight with artillery and tanks,-10.0,5.321428571428573,149,3.67804972618706
109,KEN,12,55,77788,0.7070499305805522,18,ASSAULT,1822,Torture,-9.0,4.836363636363637,266,4.292456734120667
110,KEN,12,3,77788,0.038566359849848304,17,COERCE,1724,Impose state of emergency or martial law,-5.0,3.6666666666666665,11,4.234613060257736
111,KEN,12,47,77788,0.6042063043142901,17,COERCE,170,"Coerce, not specified below ",-7.0,5.702127659574468,268,3.6341376479838585
112,KEN,12,25,77788,0.3213863320820692,17,COERCE,1711,Confiscate property,-9.2,4.76,119,3.6552126368236917
113,KEN,12,7,77788,0.08998817298297937,17,COERCE,1722,Ban political parties or politicians,-5.0,3.1428571428571432,22,4.4241842412929815
114,KEN,12,4,77788,0.051421813133131065,18,ASSAULT,183,"Conduct suicide, car, or other non-military bombing, not spec below",-10.0,6.0,24,4.141581532241152
115,KEN,12,13,77788,0.167120892682676,18,ASSAULT,1831,Carry out suicide bombing,-10.0,5.0769230769230775,66,3.206452592600076
116,KEN,12,61,77788,0.7841826502802488,17,COERCE,175,Use tactics of violent repression  ,-9.0,5.655737704918032,345,3.3043655355935253
117,KEN,12,150,77788,1.9283179924924152,18,ASSAULT,181,"Abduct, hijack, or take hostage ",-9.0,3.7666666666666666,565,4.44713513468779
118,KEN,12,37,77788,0.4756517714814624,19,FIGHT,191,"Impose blockade, restrict movement ",-9.5,4.8108108108108105,178,3.1910447713794587
119,KEN,12,20,77788,0.2571090656656554,18,ASSAULT,1823,Kill by physical assault,-10.0,4.55,91,2.7379417356844282
120,KEN,12,283,77788,3.638093279169024,18,ASSAULT,180,"Use unconventional violence, not specified below",-9.0,4.236749116607772,1199,3.7864500591121746
121,KEN,12,39,77788,0.501362678048028,17,COERCE,1721,Impose restrictions on political freedoms  ,-5.0,4.3589743589743595,170,4.08882903905258
