Country Name,"Age dependency ratio, young","GNI per capita, Atlas method (current US$)",Human capital index (HCI) (scale 0-1),"Human capital index (HCI), lower bound (scale 0-1)","Human capital index (HCI), upper bound (scale 0-1)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female (% of female population)","Population ages 0-14, male (% of male population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 45-49, male (% of male population)","Population ages 50-54, male (% of male population)","Population ages 55-59, male (% of male population)","Tuberculosis death rate (per 100,000 people)",Urban population growth (annual %),transformed_High income,transformed_Low income,transformed_Lower middle income,transformed_Upper middle income,hdi
Namibia,61.84225651351849,4500.0,0.446437537670136,0.42295604944229104,0.465390145778656,84.27003628,35.25996865,12.8118524357391,13.6675589417082,36.841243572664105,35.752536026818795,37.998413552837896,12.921100640343301,10.7731778835394,11.4097539707863,9.399701962905,9.888258586016038,9.44606498614074,9.794728026610741,4.1237071551689795,3.04502051258319,2.4003741222376203,59.0,3.76561133226831,0,0,0,1,0.645
Nepal,44.0770668984193,1190.0,0.5046017765998839,0.48969578742981,0.518612623214722,90.07454179,76.61121355,8.36732828645485,10.3810521607964,28.809713816283498,26.27586135696189,31.806732399715802,10.3822133456094,9.22906369136326,11.04346689331,10.0331237423894,12.0224880294956,10.673842073530901,11.5091993930375,4.66386508980266,4.34078601723723,3.6364787332747297,55.0,3.9063172591815,0,0,1,0,0.579
Netherlands,24.4332364705053,51060.0,0.7899150252342221,0.7802541851997379,0.799554824829102,99.99999929,97.68577085,4.86779763211862,5.15839897295876,15.7016579989626,15.2303143342055,16.176391521990098,5.3752513281665015,5.30338945358588,5.6427412208648215,5.750484313995512,6.10954833261002,5.79691518503493,6.118485746698692,6.706457486665619,7.49257509389849,7.38697773084562,0.16,0.9445407347408508,1,0,0,0,0.933
New Zealand,30.265378172473802,41550.0,0.775932431221008,0.768010795116425,0.783405423164368,100.0000013,100.0000013,5.97715399641935,6.526639728997541,19.430686986713397,18.5929439208505,20.2972960087555,6.794891321820482,6.37706101375573,6.97576495793749,6.0669964560555005,6.51765300529964,6.4484292862765,7.0187999728288695,6.27395668567942,6.27779608406679,6.45217227675902,0.26,2.18372512748305,1,0,0,0,0.921
Nicaragua,45.5103654779354,1850.0,0.508098244667053,0.500067174434662,0.515531063079834,81.7087538,73.02109747,9.567238790310462,10.2764630155943,29.500657704654497,28.318706553105105,30.7169183015815,10.376222606313501,9.18408014989411,10.0642326796737,8.66519530732609,9.55315238162623,8.44636657087453,9.217486015432867,4.81719062658028,3.79297786819544,3.2198426328445797,2.2,1.62841974632298,0,0,1,0,0.6509999999999999
Niger,104.064383308758,550.0,0.31568518280983,0.29482802748680104,0.33261701464653004,46.91179747,14.75130566,19.49990989884,20.0520946100566,49.6719578310814,49.062893932947595,50.27438001045999,16.5869320588505,13.346478382243399,13.635353341552902,10.761858687650195,11.0096042247578,8.50605630171834,8.734745995637692,2.73877963035012,2.1843910908356596,2.04637324144743,15.0,4.42911381901051,0,1,0,0,0.377
Nigeria,80.8705835837584,2000.0,0.360609829425812,0.33457151055336,0.38145971298217796,77.60905338,42.72256141,16.2893057388147,16.6339871555216,43.487610717997505,43.1009378877436,43.863923830806506,14.633592533685201,12.4258819838113,12.596344141599698,10.5822457864885,10.6743770919775,8.752136693290401,8.77793899101995,3.64452113488247,2.8217758620143396,2.23066535590623,62.0,4.09661059095784,0,0,1,0,0.534
North Macedonia,23.565322203407398,5750.0,0.55734920501709,0.5513598322868349,0.562938094139099,97.74281579,98.32787804,5.2070158050572015,5.53337344345385,16.310177625332805,15.7695229479212,16.8503767760483,5.7532114484647305,5.2119137689448,5.5637918841297305,5.65042559464643,5.98437240615623,6.07337918211686,6.43441179659755,7.0669618310941695,7.0178317313274405,6.5447626066204725,1.2,0.268995477915187,0,0,0,1,0.759
Norway,26.461307711778,78290.0,0.771051168441772,0.764168739318848,0.7782204747200009,99.9999955,98.05107359,5.45885347144756,5.670911096893669,17.2571003576487,16.9661341929295,17.5418241646025,5.85616772074863,5.83393845950727,6.01474534696018,5.87130896343845,5.99930729497227,6.3720811752986215,6.6575960507784195,7.103365239857332,7.1020513630924,6.27573236768258,0.34,1.0211550755444,1,0,0,0,0.954
Oman,29.9816661505757,0.0,0.608116269111633,0.59517228603363,0.620704412460327,92.16802469,99.32024218,12.7709641601666,6.8811920848132,22.486882728439497,32.18564701979739,17.4900526076855,5.68575438471558,8.62886951794295,4.92310613815674,6.96104335887288,2.77969159374879,7.41243912664882,5.94463879319809,6.126940891274482,3.6795708304774397,2.7766650940737003,0.36,3.5816391981080598,1,0,0,0,0.8340000000000001
